"id","iv.Group","iv.set","iv.order","startdate","submitdate","valid.row","experiment.count","lastpage","Consent","Tutorial","Experience","notation.experience","Total.Time","Concent.Time","Tutorial.Time","Survey.Time","Gender","Age","Degree","Role.count","Role.R1","Role.R2","Role.R3","Role.R4","Role.R5","Role.R6","Role.R7","Role.R8","Role.R9","Role.R10","Role.other","Bias.count","Bias.B1","Bias.B2","Bias.B3","Bias.B4","Bias.B5","Bias.B6","Bias.B7","Bias.B8","Bias.B9","Bias.B10","Bias.other","IT","Work","Training","Notation.count","Notation.None","Notation.BPMN","Notation.EPC","Notation.UMLAD","Notation.UML","Notation.CMMN","Notation.other","A.perceived","A.Correct","A.Time","A.Efficacy","A.Efficiency","iv.A.model","iv.A.name","iv.A.CC","iv.A.CL","iv.A.CS","iv.A.CAS","iv.A.CS.SC","iv.A.CS.SS","iv.A.CS.SDS","iv.A.CS.SPF","iv.A.CS.DI","iv.A.CS.PT","iv.A.CS.PDT","iv.A.CS.PE","iv.A.CS.PM","iv.A.CS.OC","iv.A.CAS.DCP","iv.A.CAS.DEP","iv.A.CAS.DAC","iv.A.CAS.DC","iv.A.CAS.DE","iv.A.CAS.DMA","iv.A.CAS.DRN","iv.A.CAS.DR","iv.A.CAS.SE","iv.A.CAS.SX","iv.A.CAS.MH","iv.A.CAS.MP","iv.A.CAS.MC","iv.A.CAS.MHB","iv.A.CAS.MT","B.perceived","B.Correct","B.Time","B.Efficacy","B.Efficiency","iv.B.model","iv.B.name","iv.B.CC","iv.B.CL","iv.B.CS","iv.B.CAS","iv.B.CS.SC","iv.B.CS.SS","iv.B.CS.SDS","iv.B.CS.SPF","iv.B.CS.DI","iv.B.CS.PT","iv.B.CS.PDT","iv.B.CS.PE","iv.B.CS.PM","iv.B.CS.OC","iv.B.CAS.DCP","iv.B.CAS.DEP","iv.B.CAS.DAC","iv.B.CAS.DC","iv.B.CAS.DE","iv.B.CAS.DMA","iv.B.CAS.DRN","iv.B.CAS.DR","iv.B.CAS.SE","iv.B.CAS.SX","iv.B.CAS.MH","iv.B.CAS.MP","iv.B.CAS.MC","iv.B.CAS.MHB","iv.B.CAS.MT","C.Compare","iv.C.obs","iv.C.calc","iv.C.CC","iv.C.order3.CC","iv.C.order15.CC","iv.C.CL","iv.C.order3.CL","iv.C.order15.CL","iv.C.CS","iv.C.order3.CS","iv.C.order15.CS","iv.C.CAS","iv.C.order3.CAS","iv.C.order15.CAS","Weights.count","Weights.CasePlan","Weights.Stage","Weights.DStage","Weights.PlanFrag","Weights.CFileItem","Weights.Task","Weights.DTask","Weights.NBHTask","Weights.ProcTask","Weights.CaseTask","Weights.CaseTasknim","Weights.BHTask","Weights.Event","Weights.UserEvent","Weights.TimerEvent","Weights.Milestone","Weights.Connector","Weights.HumanIcon","Weights.CPlanningT","Weights.EPlanningT","Weights.AComplete","Weights.Collapsed","Weights.Expanded","Weights.ManualA","Weights.Repetition","Weights.Required","Weights.EntryCritWC","Weights.EntryCrit","Weights.ExitCritWC","Weights.ExitCrit","Weights.EntryCritAND","Weights.EntryCritOR","Weights.ExitCritAND","Weights.ExitCritOR","Charity","Charity.other"
141,22,8,2,"2016-06-28 10:52:39","2016-06-29 16:24:25",1,6,8,1,1,,4,22332.1,35.09,21549.9,747.109999999997,"F",35,3,1,,,,,,,1,,,,,1,,,,,,,,,,1,,12,12,0,1,,1,,,,,,1,0.5,146.54,0.1,0.00341203766889586,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,1,2,201.29,0.4,0.00993591335883551,2,"m2b",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,7,"m5vs2","m5vs2",3.1,"A>B","m5>m2",6.33,"A<B","m5<m2",1,"A>B","m5>m2",9,"A<B","m5<m2",14,,,,,3,,,,,,,,8,,,4,2,,6,,6,6,8,,1,1,4,,,6,6,4,,,"A1",
144,25,15,1,"2016-06-28 15:14:34","2016-06-28 15:35:12",1,5,8,1,1,,4,1241.94,8.7,423.03,810.21,"F",37,5,1,,,,1,,,,,,,,3,,1,,1,1,,,,,,,16,10,52,1,,1,,,,,,5,1.75,259.17,0.35,0.00675232472894239,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,6,1,357.22,0.2,0.00279939533060859,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,7,"m5vs6","m6vs5",3.86,"A>B","m6>m5",5,"A=B","m6=m5",8.56,"A<B","m6<m5",1.44,"A>B","m6>m5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",
146,27,9,2,"2016-06-28 15:40:48","2016-06-28 19:44:25",1,5,8,1,1,,1,10698.8,26.89,9592.62,1079.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,302.14,0.8,0.0132388958760839,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,6,2,426.16,0.4,0.00469307302421626,2,"m2b",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,7,"m6vs2","m6vs2",1.95,"A>B","m6>m2",6.33,"A<B","m6<m2",4.56,"A=B","m6=m2",5.44,"A=B","m6=m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",
147,28,12,2,"2016-06-28 15:56:55","2016-07-26 10:02:44",1,5,8,1,1,,4,809.49,11.72,27.73,770.04,"M",37,4,3,,1,,,,,1,,,1,,3,,1,,1,,1,,,,,,16,8,2,3,,1,,1,1,,,3,3,445.72,0.6,0.00673068293996231,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,3,4,140.58,0.8,0.0284535495803101,3,"m3b",87,5,42,48,1,9,7,0,4,6,1,1,5,8,0,4,2,10,6,5,2,2,2,7,0,0,0,8,0,4,"m6vs3","m6vs3",2.43,"A>B","m6>m3",6.33,"A<B","m6<m3",7.22,"A<B","m6<m3",2.78,"A>B","m6>m3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A1",
149,30,15,2,"2016-06-28 16:44:48","2016-07-07 15:48:06",1,5,8,1,1,,4,2393.59,31.45,1211.47,1150.67,"M",42,4,2,,1,,,,,,,,1,,1,,,,,1,,,,,,,16,16,4,2,,1,,1,,,,2,1,377.68,0.2,0.00264774412200805,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,3,3,224.59,0.6,0.0133576739837036,5,"m5b",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,3,"m6vs5","m6vs5",3.86,"A>B","m6>m5",5,"A=B","m6=m5",8.56,"A<B","m6<m5",1.44,"A>B","m6>m5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A2",
150,1,1,1,"2016-06-28 16:50:49","2016-06-28 17:16:48",1,5,8,1,1,,4,1562.71,68.64,766.72,727.35,"M",57,4,1,,,,,,,,,,1,,2,,,1,,1,,,,,,,28,20,10,2,,1,,,,,"BPEL",3,4,234.52,0.8,0.0170561146170902,1,"m1a",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,3,2,110.17,0.4,0.0181537623672506,2,"m2a",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,3,"m1vs2","m2vs1",4.05,"A>B","m2>m1",1,"A>B","m2>m1",8.56,"A<B","m2<m1",1.44,"A>B","m2>m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A1",
156,7,6,1,"2016-06-29 01:49:39","2016-06-29 02:40:18",1,5,8,1,1,,4,2765.48,75.56,1672.33,1017.59,"M",35,3,1,,,,,,,1,,,,,1,,,,1,,,,,,,,14,8,2,2,,1,,1,,,,2,2,243.96,0.4,0.00819806525659944,2,"m2a",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,2,3.75,436.78,0.75,0.00858555794679244,3,"m3a",87,5,42,48,1,9,7,0,4,6,1,1,5,8,0,4,2,10,6,5,2,2,2,7,0,0,0,8,0,3,"m2vs3","m3vs2",4.52,"A=B","m3=m2",5,"A=B","m3=m2",2.33,"A>B","m3>m2",7.67,"A<B","m3<m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,8,7,1,"2016-06-29 02:02:01","2016-06-29 02:13:19",1,5,8,1,1,,4,682.12,9.8,62.4,609.92,"M",52,3,1,,,,,,,,,,1,,3,,1,,1,,1,,,,,,0,18,2,3,,1,,1,1,,,3,4,238.89,0.8,0.0167441081669388,2,"m2a",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,3,4.75,144.38,0.95,0.03289929353096,4,"m4a",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,6,"m2vs4","m4vs2",3.67,"A>B","m4>m2",6.33,"A<B","m4<m2",3.22,"A>B","m4>m2",6.78,"A<B","m4<m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A2",
162,13,10,1,"2016-06-29 10:32:57","2016-06-29 11:07:11",1,6,8,1,1,,4,2055.75,37.07,1251.29,767.39,"M",35,3,1,,,,,,,1,,,,,2,1,,,,,1,,,,,,12,12,16,2,,,,1,1,,,5,4,390.3,0.8,0.0102485267742762,3,"m3a",87,5,42,48,1,9,7,0,4,6,1,1,5,8,0,4,2,10,6,5,2,2,2,7,0,0,0,8,0,5,4,121.1,0.8,0.0330305532617671,4,"m4a",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,6,"m3vs4","m4vs3",4.14,"A>B","m4>m3",6.33,"A<B","m4<m3",5.89,"A<B","m4<m3",4.11,"A>B","m4>m3",12,,,,,1,1,,1,,,,,,,,1,1,,3,,1,6,3,,,,1,1,,,,,,3,"A1",
164,15,12,1,"2016-06-29 14:37:05","2016-06-29 15:35:48",1,6,8,1,1,,4,3436.7,67.84,2838.23,530.63,,26,4,1,,,,,,,,,,1,,1,,,,,,,,,,1,,2,1,0,1,,,,1,,,,4,3,131.21,0.6,0.0228641109671519,3,"m3a",87,5,42,48,1,9,7,0,4,6,1,1,5,8,0,4,2,10,6,5,2,2,2,7,0,0,0,8,0,4,1,71.5,0.2,0.013986013986014,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,3,"m3vs6","m6vs3",2.43,"A>B","m6>m3",6.33,"A<B","m6<m3",7.22,"A<B","m6<m3",2.78,"A>B","m6>m3",12,,,,6,,,2,,,,3,,3,2,,,,1,,,4,,,3,,1,5,,,,,5,3,,"A2",
165,16,3,2,"2016-06-29 14:58:31","2016-06-29 15:19:52",1,5,8,1,1,,6,1283.81,70.81,269.02,943.98,"M",59,4,1,,,,,,,1,,,,,1,,,,,1,,,,,,,29,5,3,4,,1,,1,1,1,,3,3.75,318.77,0.75,0.0117639677510431,4,"m4a",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,3,1,200.2,0.2,0.004995004995005,1,"m1b",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,3,"m4vs1","m4vs1",2.71,"A>B","m4>m1",2.33,"A>B","m4>m1",6.78,"A<B","m4<m1",3.22,"A>B","m4>m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3",
168,19,13,1,"2016-06-29 16:09:38","2016-06-29 17:06:03",1,5,8,1,1,,4,3387.31,122.1,1980.69,1284.52,,32,4,1,,,,,,,,,1,,,1,,,,,,,,,,1,,10,0,16,2,,,,1,1,,,2,0,376.97,0,0,4,"m4a",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,2,2.5,187.42,0.5,0.0133390246505176,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,6,"m4vs5","m5vs4",4.43,"A>B","m5>m4",5,"A=B","m5=m4",2.78,"A>B","m5>m4",7.22,"A<B","m5<m4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",
170,21,4,2,"2016-06-29 17:07:46","2016-06-29 17:11:37",1,3,8,1,1,,1,232.86,4.93,30,197.93,,,,1,,,,,,,,,,,"Tecnico",1,,,,,,,,1,,,,0,0,0,1,1,,,,,,,,0,18.11,0,0,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,,0,9.85,0,0,1,"m1b",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,9,"m5vs1","m5vs1",2.14,"A>B","m5>m1",2.33,"A>B","m5>m1",4.56,"A=B","m5=m1",5.44,"A=B","m5=m1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,22,8,2,"2016-06-29 17:25:01","2016-06-29 17:50:47",1,5,8,1,1,,4,1550.37,12.89,267.32,1270.16,"M",60,4,1,,,,,,,,,,,"Director architecture",1,,,,,1,,,,,,,33,18,2,3,,1,,1,,,"BPEL, XPDL",3,3.75,590.84,0.75,0.00634689594475662,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,3,1,288.52,0.2,0.00346596423124913,2,"m2b",82,5,36,54,1,5,1,1,1,7,5,1,1,13,3,2,5,4,3,2,8,0,10,4,2,1,1,8,1,4,"m5vs2","m5vs2",3.1,"A>B","m5>m2",6.33,"A<B","m5<m2",1,"A>B","m5>m2",9,"A<B","m5<m2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,24,13,2,"2016-06-29 19:09:37","2016-07-26 15:16:53",1,5,8,1,1,,4,6589.6,297.97,5142.18,1149.45,"M",38,3,4,,1,,1,1,,1,,,,,3,,1,,1,,1,,,,,,18,18,,2,,1,,1,,,,5,2,403.37,0.4,0.00495822693804695,5,"m5a",102,4,45,45,3,0,2,1,4,3,8,7,5,12,2,2,2,1,2,1,1,2,10,4,7,0,4,3,4,6,3.75,385.93,0.75,0.00971678801855259,4,"m4b",96,4,40,50,1,4,4,1,4,2,11,2,5,6,2,3,3,3,6,3,2,2,9,2,0,2,1,10,2,2,"m5vs4","m5vs4",4.43,"A>B","m5>m4",5,"A=B","m5=m4",2.78,"A>B","m5>m4",7.22,"A<B","m5<m4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A1",
175,26,5,2,"2016-06-29 19:24:20","2016-06-29 19:49:41",1,6,8,1,1,,6,1523.96,106.88,66.65,1350.43,"M",28,3,1,,,,,,,,,,,"Technician Support Representative ",1,,1,,,,,,,,,,2,2,4,1,,,,,,1,,1,3,499.08,0.6,0.00601106035104592,6,"m6a",114,4,37,53,1,1,8,0,1,5,10,2,3,6,4,6,2,0,9,3,2,3,3,4,10,0,0,6,1,4,1.5,196.72,0.3,0.00762505083367222,1,"m1b",72,2,44,46,4,5,0,0,8,10,0,0,5,12,4,0,7,5,0,5,3,5,3,4,1,0,2,7,0,1,"m6vs1","m6vs1",1,"A>B","m6>m1",2.33,"A>B","m6>m1",8.11,"A<B","m6<m1",1.89,"A>B","m6>m1",9,4,2,1,4,,1,,,,,4,,,,,1,,,,8,,,1,,,,,,,,,,,,"A2",
